Date,Entry,Option Strike,Option Initial Price,Option Type,Bought Delta,lot_size,Expiry Month,Target Delta,Options PNL,Option Close Date,Option Final Price,Option SL
25-06-2021,INFY-I1640CE,1640,23.8,call,0.345664185,444.7268107,29-07-2021,0.35,10456.19441,29-07-2021,0.05,Expiry
30-07-2021,INFY-I1660CE,1660,12.7,call,0.352099001,434.310532,26-08-2021,0.35,-11252.11726,04-08-2021,38.1,Intraday SL Hit
27-08-2021,INFY-I1760CE,1760,21.2,call,0.370140454,410.076157,30-09-2021,0.35,8585.969537,30-09-2021,0.05,Expiry
01-10-2021,INFY-I1720CE,1720,36.5,call,0.330102944,420.2689721,28-10-2021,0.35,15165.19573,28-10-2021,0.05,Expiry
29-10-2021,INFY-I1720CE,1720,32.5,call,0.352323953,418.9108318,25-11-2021,0.35,13457.30102,25-11-2021,0.05,Expiry
26-11-2021,INFY-I1740CE,1740,24.5,call,0.374266124,414.2011834,30-12-2021,0.35,-20701.77515,17-12-2021,73.5,Intraday SL Hit
31-12-2021,INFY-I1940CE,1940,38.25,call,0.38064481,369.4711285,27-01-2022,0.35,13972.28967,27-01-2022,0.05,Expiry
28-01-2022,INFY-I1740CE,1740,34.25,call,0.325209725,415.3070306,24-02-2022,0.35,14061.05013,24-02-2022,0.05,Expiry
25-02-2022,INFY-I1760CE,1760,27.8,call,0.328830035,412.979351,31-03-2022,0.35,-23420.88496,09-03-2022,83.4,Intraday SL Hit
01-04-2022,INFY-I1960CE,1960,34.1,call,0.362019935,367.1071953,28-04-2022,0.35,12374.63289,28-04-2022,0.05,Expiry
29-04-2022,INFY-I1620CE,1620,24.9,call,0.341554958,446.4285714,26-05-2022,0.35,10982.36607,26-05-2022,0.05,Expiry
27-05-2022,INFY-I1520CE,1520,21.3,call,0.360056479,477.4897681,30-06-2022,0.35,-20747.8854,03-06-2022,63.9,Intraday SL Hit
01-07-2022,INFY-I1540CE,1540,21.5,call,0.324355638,472.6217001,28-07-2022,0.35,10035.88549,28-07-2022,0.05,Expiry
29-07-2022,INFY-I1600CE,1600,19.1,call,0.355003522,452.7813713,25-08-2022,0.35,8538.77749,25-08-2022,0.05,Expiry
26-08-2022,INFY-I1600CE,1600,21.65,call,0.323545487,458.4752423,29-09-2022,0.35,9803.576107,29-09-2022,0.05,Expiry
30-09-2022,INFY-I1460CE,1460,29.9,call,0.374340997,495.049505,27-10-2022,0.35,-13521.0396,27-10-2022,56.35,Expiry
28-10-2022,INFY-I1580CE,1580,12,call,0.323908227,462.0462046,24-11-2022,0.35,-11310.89109,16-11-2022,36,Intraday SL Hit
25-11-2022,INFY-I1700CE,1700,19,call,0.352955988,429.4346799,29-12-2022,0.35,8055.979878,29-12-2022,0.05,Expiry
27-01-2023,INFY-I1580CE,1580,16.9,call,0.334117825,460.9508758,23-02-2023,0.35,7688.891084,23-02-2023,0.05,Expiry
31-03-2023,INFY-I1480CE,1480,17.55,call,0.335266209,490.9868836,27-04-2023,0.35,8505.856772,27-04-2023,0.05,Expiry
28-04-2023,INFY-I1300CE,1300,12,call,0.340346284,558.7038072,25-05-2023,0.35,6524.54306,25-05-2023,0.2,Expiry
30-06-2023,INFY-I1380CE,1380,18.7,call,0.358261975,523.2275666,27-07-2023,0.35,-19960.08521,14-07-2023,56.1,Intraday SL Hit
28-07-2023,INFY-I1390CE,1390,15.9,call,0.364344215,522.1542593,31-08-2023,0.35,-17147.54587,31-08-2023,48.1,Overnight SL Hit
01-09-2023,INFY-I1490CE,1490,9.3,call,0.351526455,485.4368932,28-09-2023,0.35,-9209.708738,12-09-2023,27.9,Intraday SL Hit
29-09-2023,INFY-I1480CE,1480,17,call,0.332268572,489.5104895,26-10-2023,0.35,-16976.22378,11-10-2023,51,Intraday SL Hit
27-10-2023,INFY-I1430CE,1430,10.15,call,0.355109688,506.8607219,30-11-2023,0.35,-10495.05811,16-11-2023,30.45,Intraday SL Hit
01-12-2023,INFY-I1500CE,1500,12.4,call,0.338695455,482.043866,28-12-2023,0.35,-12193.78163,15-12-2023,37.2,Intraday SL Hit
29-12-2023,INFY-I1590CE,1590,40.2,call,0.354312448,453.7646258,25-01-2024,0.35,-13930.57401,25-01-2024,69.8,Expiry
29-01-2024,INFY-I1710CE,1710,24.1,call,0.359087646,423.152486,29-02-2024,0.35,10074.62596,29-02-2024,0.05,Expiry
