ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL,,
BAJAJ_AUTO.EQ-NSE,13-04-2020,2400.05,2350,100,0.1,30-04-2020,28844.94073,291.6605904,0,FALSE,0,8993.85,8800,0.05,290.1,0,77.83096227,22800.69714,No SL Hit,99.90%,-99.98%
BAJAJ_AUTO.EQ-NSE,08-05-2020,2422.6499,2350,81,2.95,28-05-2020,22309.18714,288.9398093,0,FALSE,0,9251.5,9050,0.05,222.9,0,75.66340593,17030.28158,No SL Hit,96.36%,-99.98%
BAJAJ_AUTO.EQ-NSE,05-06-2020,2779,2700,62.5,133.45,12-06-2020,-18365.11335,251.8891688,0,FALSE,0,10142.15,9950,398.15,162,0,69.01889639,-15912.20303,Overnight SL Hit,-113.52%,145.77%
BAJAJ_AUTO.EQ-NSE,10-07-2020,2888.5,2800,72,0.05,30-07-2020,17261.77947,242.340315,0,FALSE,0,10768.05,10550,0.1,130,0,65.00712757,8529.000144,No SL Hit,99.93%,-99.92%
BAJAJ_AUTO.EQ-NSE,07-08-2020,3001.95,2950,56.35,0.05,27-08-2020,12996.61886,233.1817652,0,FALSE,0,11214.05,10950,0.05,100.15,0,62.42169421,6310.958128,No SL Hit,99.91%,-99.95%
BAJAJ_AUTO.EQ-NSE,04-09-2020,2890,2800,59.6,0.05,24-09-2020,14279.39446,242.2145329,0,FALSE,0,11333.85,11100,293.7,119.55,0,61.76189027,-10500.60218,No SL Hit,99.92%,145.67%
BAJAJ_AUTO.EQ-NSE,09-10-2020,3059.6499,3000,72.8,78.5,29-10-2020,-1650.221484,228.7843456,0,FALSE,0,11914.2,11650,0.05,98,0,58.75342029,5812.505246,No SL Hit,-7.83%,-99.95%
BAJAJ_AUTO.EQ-NSE,06-11-2020,2972.7,2900,52.2,0.05,26-11-2020,12157.04578,235.4761664,0,FALSE,0,12263.55,12000,0.05,118.5,0,57.07971998,6828.76084,No SL Hit,99.90%,-99.96%
BAJAJ_AUTO.EQ-NSE,11-12-2020,3317.6499,3250,65.45,0.05,31-12-2020,13660.72412,210.9927271,0,FALSE,0,13513.85,13200,0.05,99,0,51.79871021,5176.788998,No SL Hit,99.92%,-99.95%
BAJAJ_AUTO.EQ-NSE,08-01-2021,3527.55,3450,59.95,0.05,28-01-2021,11767.37396,198.4380094,0,FALSE,0,14347.25,14050,232.2,126.75,0,48.78983777,-4969.757271,No SL Hit,99.92%,83.20%
BAJAJ_AUTO.EQ-NSE,05-02-2021,4229,4100,93.05,186.1,23-02-2021,-15864.04587,165.5237645,0,FALSE,0,14924.25,14600,46.15,161.95,0,46.90352949,5529.03496,Intraday SL Hit,-100.00%,-71.50%
BAJAJ_AUTO.EQ-NSE,05-03-2021,3854.8501,3750,65.9,131.8,15-03-2021,-12325.74517,181.5894216,0,FALSE,0,14938.1,14600,112,207,0,46.86004244,4601.187567,Intraday SL Hit,-100.00%,-45.89%
BAJAJ_AUTO.EQ-NSE,09-04-2021,3653,3550,50.35,110.35,12-04-2021,-11805.33808,191.6233233,0,FALSE,0,14834.85,14650,235.35,160,0,47.18618658,-3368.92857,Overnight SL Hit,-119.17%,47.09%
